ID	Platform	BookAuthor	BookID	Book	RevID	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_SCONJ	upos_dist_AUX	upos_dist_X	upos_dist_NUM	upos_dist_ADP	upos_dist_PUNCT	upos_dist_PART	upos_dist_ADV	upos_dist_INTJ	upos_dist_CCONJ	upos_dist_ADJ	upos_dist_PROPN	upos_dist_NOUN	upos_dist_VERB	upos_dist_SYM	upos_dist_PRON	upos_dist_DET	lexical_density	verbs_mood_dist_Cnd	verbs_mood_dist_Imp	verbs_mood_dist_Ind	verbs_mood_dist_Sub	verbs_tense_dist_Pres	verbs_tense_dist_Fut	verbs_tense_dist_Imp	verbs_tense_dist_Past	verbs_form_dist_Ger	verbs_form_dist_Part	verbs_form_dist_Fin	verbs_form_dist_Inf	verbs_num_pers_dist_Plur+	verbs_num_pers_dist_+	verbs_num_pers_dist_Plur+2	verbs_num_pers_dist_Sing+3	verbs_num_pers_dist_Plur+1	verbs_num_pers_dist_Plur+3	verbs_num_pers_dist_Sing+2	verbs_num_pers_dist_Sing+1	verbs_num_pers_dist_+3	aux_mood_dist_Cnd	aux_mood_dist_Imp	aux_mood_dist_Sub	aux_mood_dist_Ind	aux_tense_dist_Fut	aux_tense_dist_Past	aux_tense_dist_Pres	aux_tense_dist_Imp	aux_form_dist_Fin	aux_form_dist_Part	aux_form_dist_Ger	aux_form_dist_Inf	aux_num_pers_dist_Sing+1	aux_num_pers_dist_Sing+3	aux_num_pers_dist_Sing+2	aux_num_pers_dist_Plur+2	aux_num_pers_dist_Plur+1	aux_num_pers_dist_Plur+3	verbal_head_per_sent	verbal_root_perc	avg_token_per_clause	avg_links_len	max_links_len	avg_max_links_len	avg_max_depth	dep_dist_advmod	dep_dist_advcl	dep_dist_acl	dep_dist_det	dep_dist_cop	dep_dist_vocative	dep_dist_conj	dep_dist_amod	dep_dist_det:poss	dep_dist_orphan	dep_dist_aux	dep_dist_expl:impers	dep_dist_obl	dep_dist_mark	dep_dist_flat:foreign	dep_dist_acl:relcl	dep_dist_fixed	dep_dist_parataxis	dep_dist_nummod	dep_dist_punct	dep_dist_root	dep_dist_obj	dep_dist_ccomp	dep_dist_nsubj:pass	dep_dist_discourse	dep_dist_xcomp	dep_dist_obl:agent	dep_dist_case	dep_dist_dislocated	dep_dist_cc	dep_dist_nmod	dep_dist_flat:name	dep_dist_nsubj	dep_dist_flat	dep_dist_iobj	dep_dist_det:predet	dep_dist_aux:pass	dep_dist_csubj	dep_dist_compound	dep_dist_expl:pass	dep_dist_expl	dep_dist_appos	subj_pre	subj_post	obj_pre	obj_post	n_prepositional_chains	avg_prepositional_chain_len	prep_dist_2	prep_dist_4	prep_dist_5	prep_dist_1	prep_dist_3	subordinate_dist_5	subordinate_dist_4	subordinate_dist_3	subordinate_dist_2	subordinate_dist_1	avg_subordinate_chain_len	principal_proposition_dist	subordinate_proposition_dist	subordinate_pre	subordinate_post	verb_edges_dist_1	verb_edges_dist_5	verb_edges_dist_0	verb_edges_dist_6	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_2	avg_verb_edges	ttr_form_chunks_100	ttr_form_chunks_200	ttr_lemma_chunks_100	ttr_lemma_chunks_200
1	AmazonBooks	Dan Brown	6411961	The Lost Symbol	63	2	31	15.5	5.70967741935484	0	9.67741935483871	0	3.2258064516129	9.67741935483871	0	0	9.67741935483871	0	6.45161290322581	19.3548387096774	0	25.8064516129032	6.45161290322581	0	6.45161290322581	3.2258064516129	0.612903225806452	0	0	100	0	100	0	0	0	0	0	50	50	0	0	0	100	0	0	0	0	0	33.3333333333333	0	33.3333333333333	33.3333333333333	0	0	100	0	100	0	0	0	0	100	0	0	0	0	2	50	7.75	2.51724137931034	13	9	3.5	9.67741935483871	3.2258064516129	0	3.2258064516129	6.45161290322581	0	6.45161290322581	12.9032258064516	0	0	3.2258064516129	3.2258064516129	3.2258064516129	0	0	0	0	0	3.2258064516129	0	6.45161290322581	6.45161290322581	3.2258064516129	0	0	0	0	9.67741935483871	0	6.45161290322581	9.67741935483871	0	0	0	0	0	0	0	3.2258064516129	0	0	0	0	0	0	100	2	1	0	0	0	100	0	0	0	0	100	0	2	33.3333333333333	66.6666666666667	100	0	0	0	0	50	0	0	50	4	0	0	0	0
2	AmazonBooks	Stephen King	10614	Misery	5	4	105	26.25	4.97894736842105	1.9047619047619	6.66666666666667	0	0	8.57142857142857	9.52380952380952	0	11.4285714285714	0	4.76190476190476	8.57142857142857	4.76190476190476	10.4761904761905	17.1428571428571	0	7.61904761904762	8.57142857142857	0.578947368421053	0	0	100	0	91.6666666666667	0	0	8.33333333333333	0	11.1111111111111	55.5555555555556	33.3333333333333	0	0	0	90	0	0	0	10	0	16.6666666666667	0	0	83.3333333333333	0	0	100	0	85.7142857142857	0	0	14.2857142857143	16.6666666666667	83.3333333333333	0	0	0	0	5.75	100	4.56521739130435	2.47252747252747	15	10	6	11.4285714285714	0.952380952380952	0	8.57142857142857	4.76190476190476	0	6.66666666666667	4.76190476190476	0	0	1.9047619047619	0	3.80952380952381	3.80952380952381	0	1.9047619047619	0	0.952380952380952	0	9.52380952380952	3.80952380952381	6.66666666666667	2.85714285714286	0	0	2.85714285714286	0	6.66666666666667	0	4.76190476190476	2.85714285714286	0	6.66666666666667	0	1.9047619047619	0	0	0.952380952380952	0	0	0.952380952380952	0	75	25	33.3333333333333	66.6666666666667	3	1	0	0	0	100	0	0	0	11.1111111111111	11.1111111111111	77.7777777777778	1.33333333333333	25	75	0	100	11.1111111111111	5.55555555555556	5.55555555555556	0	33.3333333333333	11.1111111111111	33.3333333333333	2.5	0	0	0	0
3	AmazonBooks	Dan Brown	11125	Digital Fortress	104	2	26	13	4.54545454545455	0	3.84615384615385	0	0	11.5384615384615	15.3846153846154	0	11.5384615384615	0	3.84615384615385	3.84615384615385	0	19.2307692307692	11.5384615384615	0	3.84615384615385	15.3846153846154	0.545454545454545	0	0	100	0	0	0	33.3333333333333	66.6666666666667	0	66.6666666666667	33.3333333333333	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	0	100	0	0	0	0	100	0	0	0	0	1.5	100	8.66666666666667	2.55	13	8	2.5	11.5384615384615	3.84615384615385	0	15.3846153846154	0	0	3.84615384615385	0	0	0	3.84615384615385	0	7.69230769230769	0	0	0	0	0	0	15.3846153846154	7.69230769230769	3.84615384615385	0	0	0	3.84615384615385	0	11.5384615384615	0	3.84615384615385	0	0	7.69230769230769	0	0	0	0	0	0	0	0	0	100	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	1	66.6666666666667	33.3333333333333	0	100	0	0	33.3333333333333	0	0	66.6666666666667	0	2.66666666666667	0	0	0	0
4	AmazonBooks	J.R.R. Tolkien	5907	The Hobbit	127	3	21	7	4.73684210526316	4.76190476190476	4.76190476190476	0	0	9.52380952380952	9.52380952380952	0	0	0	0	9.52380952380952	0	23.8095238095238	9.52380952380952	0	9.52380952380952	19.047619047619	0.473684210526316	0	0	100	0	100	0	0	0	0	0	50	50	0	0	0	100	0	0	0	0	0	0	0	0	100	0	0	100	0	100	0	0	0	0	100	0	0	0	0	1	66.6666666666667	7	1.6875	5	2.66666666666667	2	0	0	0	19.047619047619	4.76190476190476	0	0	0	0	0	0	0	9.52380952380952	4.76190476190476	0	0	0	0	0	9.52380952380952	14.2857142857143	4.76190476190476	0	0	0	0	0	9.52380952380952	0	0	0	0	4.76190476190476	0	0	0	0	4.76190476190476	4.76190476190476	0	9.52380952380952	0	50	50	0	100	0	0	0	0	0	0	0	0	0	0	0	100	1	66.6666666666667	33.3333333333333	0	100	0	0	0	0	0	50	50	3	0	0	0	0
5	AmazonBooks	Jane Austen	6969	Emma	191	4	43	10.75	4.05128205128205	2.32558139534884	11.6279069767442	0	0	9.30232558139535	9.30232558139535	0	11.6279069767442	0	2.32558139534884	2.32558139534884	4.65116279069768	13.953488372093	4.65116279069768	2.32558139534884	13.953488372093	11.6279069767442	0.41025641025641	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	0	20	80	0	80	20	0	0	25	25	0	0	0	50	1.25	75	8.6	2.58333333333333	13	4.75	2	11.6279069767442	0	0	11.6279069767442	6.97674418604651	0	4.65116279069768	2.32558139534884	0	0	4.65116279069768	0	9.30232558139535	0	0	0	0	0	0	6.97674418604651	9.30232558139535	4.65116279069768	0	0	0	0	0	11.6279069767442	0	2.32558139534884	6.97674418604651	2.32558139534884	4.65116279069768	0	0	0	0	0	0	0	0	0	100	0	50	50	2	1	0	0	0	100	0	0	0	0	0	0	0	100	0	0	0	0	50	0	0	0	0	50	3.5	0	0	0	0
6	AmazonBooks	J.R.R. Tolkien	5907	The Hobbit	140	3	55	18.3333333333333	4.61224489795918	3.63636363636364	5.45454545454545	0	3.63636363636364	10.9090909090909	10.9090909090909	0	9.09090909090909	0	3.63636363636364	7.27272727272727	0	16.3636363636364	10.9090909090909	0	5.45454545454545	12.7272727272727	0.489795918367347	0	0	100	0	16.6666666666667	0	16.6666666666667	66.6666666666667	0	66.6666666666667	33.3333333333333	0	0	0	0	100	0	0	0	0	0	0	0	0	100	0	0	66.6666666666667	33.3333333333333	100	0	0	0	33.3333333333333	66.6666666666667	0	0	0	0	2.33333333333333	33.3333333333333	7.85714285714286	2.6304347826087	12	6.33333333333333	3.33333333333333	7.27272727272727	1.81818181818182	0	12.7272727272727	1.81818181818182	0	3.63636363636364	7.27272727272727	0	0	3.63636363636364	0	7.27272727272727	3.63636363636364	0	1.81818181818182	1.81818181818182	0	3.63636363636364	10.9090909090909	5.45454545454545	1.81818181818182	1.81818181818182	0	0	1.81818181818182	0	10.9090909090909	0	3.63636363636364	1.81818181818182	0	1.81818181818182	0	1.81818181818182	0	0	0	0	0	0	1.81818181818182	100	0	50	50	1	1	0	0	0	100	0	0	0	0	66.6666666666667	33.3333333333333	1.66666666666667	20	80	25	75	16.6666666666667	16.6666666666667	0	0	0	16.6666666666667	50	2.66666666666667	0	0	0	0
7	AmazonBooks	J.K. Rowling	2	Harry Potter and the Order of the Phoenix	159	3	29	9.66666666666667	4.0952380952381	0	0	0	0	10.3448275862069	27.5862068965517	0	10.3448275862069	0	3.44827586206897	3.44827586206897	10.3448275862069	3.44827586206897	17.2413793103448	0	6.89655172413793	6.89655172413793	0.619047619047619	50	0	50	0	100	0	0	0	0	0	40	60	0	0	0	0	0	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66666666666667	66.6666666666667	5.8	1.55555555555556	3	2.66666666666667	2.66666666666667	10.3448275862069	3.44827586206897	3.44827586206897	6.89655172413793	0	0	3.44827586206897	0	0	0	0	0	3.44827586206897	6.89655172413793	0	0	0	0	0	27.5862068965517	10.3448275862069	10.3448275862069	0	0	0	0	0	3.44827586206897	0	3.44827586206897	0	6.89655172413793	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100	1	50	50	0	100	0	0	0	0	40	0	60	2.4	0	0	0	0
8	AmazonBooks	J.K. Rowling	3	Harry Potter and the  Sorcerer's Stone	188	1	11	11	6.88888888888889	0	0	0	0	0	18.1818181818182	0	18.1818181818182	0	0	18.1818181818182	0	27.2727272727273	9.09090909090909	0	0	9.09090909090909	0.888888888888889	0	0	0	0	0	0	0	100	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	2.125	4	4	4	18.1818181818182	0	9.09090909090909	0	0	0	0	18.1818181818182	9.09090909090909	0	0	0	0	0	0	0	0	0	0	18.1818181818182	9.09090909090909	0	0	0	0	9.09090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	1	0	100	0	100	100	0	0	0	0	0	0	1	0	0	0	0
9	AmazonBooks	J.K. Rowling	5	Harry Potter and the Prisoner of Azkaban	147	2	18	9	4.23529411764706	0	11.1111111111111	0	0	16.6666666666667	5.55555555555556	0	0	0	5.55555555555556	11.1111111111111	0	22.2222222222222	5.55555555555556	0	0	22.2222222222222	0.411764705882353	0	0	0	0	0	0	0	100	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	50	50	0	50	50	0	0	0	100	0	0	0	0	1	100	9	2.46666666666667	8	6	3	0	0	0	16.6666666666667	5.55555555555556	0	5.55555555555556	5.55555555555556	5.55555555555556	0	5.55555555555556	0	5.55555555555556	0	0	0	0	0	0	5.55555555555556	11.1111111111111	5.55555555555556	0	0	0	0	0	16.6666666666667	0	5.55555555555556	5.55555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	1	1	0	0	0	100	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	2	0	0	0	0
10	AmazonBooks	J.K. Rowling	15881	Harry Potter and the Chamber of Secrets	146	1	44	44	4.29268292682927	0	6.81818181818182	0	0	9.09090909090909	6.81818181818182	0	6.81818181818182	0	6.81818181818182	6.81818181818182	4.54545454545455	18.1818181818182	11.3636363636364	0	6.81818181818182	15.9090909090909	0.51219512195122	0	0	100	0	75	0	0	25	0	20	60	20	0	0	0	100	0	0	0	0	0	0	0	0	100	0	0	100	0	100	0	0	0	0	66.6666666666667	0	0	0	33.3333333333333	7	100	6.28571428571429	3.9	38	38	6	6.81818181818182	2.27272727272727	2.27272727272727	15.9090909090909	4.54545454545455	0	6.81818181818182	4.54545454545455	0	0	2.27272727272727	0	4.54545454545455	2.27272727272727	0	0	0	2.27272727272727	0	6.81818181818182	2.27272727272727	0	0	0	0	0	0	6.81818181818182	0	6.81818181818182	2.27272727272727	2.27272727272727	13.6363636363636	0	2.27272727272727	0	0	0	0	0	2.27272727272727	0	83.3333333333333	16.6666666666667	100	0	1	1	0	0	0	100	0	0	0	0	0	100	1	25	75	0	100	20	20	0	0	20	20	20	3	0	0	0	0
